Epoch,swish_triple-1024
1,0.15940526127815247
2,0.14959634840488434
3,0.15334777534008026
4,0.12690824270248413
5,0.13397741317749023
6,0.11789104342460632
7,0.11911682039499283
8,0.11196796596050262
9,0.13356071710586548
10,0.1120440736413002
11,0.10687300562858582
12,0.11836226284503937
13,0.10673414915800095
14,0.11509687453508377
15,0.10581538081169128
16,0.11502756923437119
17,0.10241872817277908
18,0.12360891699790955
19,0.1073361411690712
20,0.10428351163864136
21,0.10459083318710327
22,0.12369078397750854
23,0.10545506328344345
24,0.10020208358764648
25,0.10053815692663193
26,0.09923636168241501
27,0.09941496700048447
28,0.10248779505491257
29,0.10352578014135361
30,0.10003770142793655
31,0.12065563350915909
32,0.09735120087862015
33,0.10847895592451096
34,0.09502345323562622
35,0.10575487464666367
36,0.10608352720737457
37,0.1075538843870163
38,0.10000021010637283
39,0.10356929153203964
40,0.10764693468809128
41,0.09525010734796524
42,0.10369257628917694
43,0.09406788647174835
44,0.10227877646684647
45,0.09720462560653687
46,0.09504269808530807
47,0.11024229228496552
48,0.09348494559526443
49,0.10055571794509888
50,0.09328863024711609
51,0.09172873198986053
52,0.09305229038000107
53,0.09578171372413635
54,0.10080551356077194
55,0.10695801675319672
56,0.09267237782478333
57,0.09378478676080704
58,0.11436004936695099
59,0.10547835379838943
60,0.09124606847763062
61,0.10533183813095093
62,0.09071241319179535
63,0.10428816080093384
64,0.09132634848356247
65,0.10585954785346985
66,0.08974698185920715
67,0.11826398223638535
68,0.08862677216529846
69,0.09946822375059128
70,0.10143903642892838
71,0.10203251987695694
72,0.0943743884563446
73,0.10403469204902649
74,0.09777338802814484
75,0.09789422899484634
76,0.08837933838367462
77,0.09036390483379364
78,0.0994897335767746
79,0.09266680479049683
80,0.09626324474811554
81,0.0967637225985527
82,0.08766388893127441
83,0.0994127094745636
84,0.08941981941461563
85,0.08846452087163925
86,0.09099939465522766
87,0.11060955375432968
88,0.09349872916936874
89,0.08948701620101929
90,0.09458961337804794
91,0.08853884786367416
92,0.08705154061317444
93,0.09194143116474152
94,0.11115580797195435
95,0.0936451330780983
96,0.10552506148815155
97,0.08508172631263733
98,0.09104016423225403
99,0.09707240760326385
100,0.08651289343833923
101,0.11784469336271286
102,0.09288732707500458
103,0.0970541387796402
104,0.09549769759178162
105,0.08835840970277786
106,0.098574198782444
107,0.09068404138088226
