Epoch,sigmoid_triple-1024
1,0.09064647555351257
2,0.076212577521801
3,0.07906898856163025
4,0.0836922749876976
5,0.08741237968206406
6,0.09148839861154556
7,0.0680680051445961
8,0.08380734175443649
9,0.07433436065912247
10,0.06963200867176056
11,0.06517954170703888
12,0.05599486455321312
13,0.06053471565246582
14,0.08123597502708435
15,0.06271418929100037
16,0.05061155930161476
17,0.06401612609624863
18,0.05787282809615135
19,0.048424962908029556
20,0.08473457396030426
21,0.05151137709617615
22,0.06596336513757706
23,0.04280005022883415
24,0.06221511960029602
25,0.04773090034723282
26,0.03457527235150337
27,0.047676779329776764
28,0.037512052804231644
29,0.03760705888271332
30,0.03386877849698067
31,0.03615051880478859
32,0.0397685207426548
33,0.03623461350798607
34,0.03447253629565239
35,0.034994255751371384
36,0.03171951696276665
37,0.03413195535540581
38,0.04525599628686905
39,0.028352374210953712
40,0.02542663738131523
41,0.02784612961113453
42,0.02914910390973091
43,0.03265831246972084
44,0.03695137798786163
45,0.023847239091992378
46,0.0272841677069664
47,0.04377762973308563
48,0.03238128870725632
49,0.026801884174346924
50,0.036712661385536194
51,0.023555763065814972
52,0.02829980105161667
53,0.02835696190595627
54,0.025342976674437523
55,0.02579706907272339
56,0.027131404727697372
57,0.021306030452251434
58,0.022529954090714455
59,0.02269214391708374
60,0.024153493344783783
61,0.0409877635538578
62,0.01948394812643528
63,0.0320032462477684
64,0.024327445775270462
65,0.019316749647259712
66,0.022814646363258362
67,0.0330669991672039
68,0.021728308871388435
69,0.02555336430668831
70,0.019740166142582893
71,0.018603621050715446
72,0.04128459841012955
73,0.022999394685029984
74,0.02120942436158657
75,0.03010941669344902
76,0.01877056062221527
77,0.0195144135504961
78,0.03011026419699192
79,0.01835073158144951
80,0.0235933605581522
81,0.02003506012260914
82,0.01747976243495941
83,0.01619561016559601
84,0.02310275472700596
85,0.018467430025339127
86,0.018918823450803757
87,0.027595840394496918
88,0.024081101641058922
89,0.02665361389517784
90,0.02899789623916149
91,0.017091229557991028
92,0.015853559598326683
93,0.020855402573943138
94,0.02048487961292267
95,0.016733665019273758
96,0.020179785788059235
97,0.015813149511814117
98,0.019720351323485374
99,0.0204610638320446
100,0.022011013701558113
101,0.019539091736078262
102,0.017328796908259392
103,0.023062877357006073
104,0.02913711965084076
105,0.017131254076957703
106,0.024350253865122795
107,0.01671682298183441
